# AGCNr    HIra         HIdec       v21     redshift               dist    w50   flux   snratio   loghimass   groupid   gra            gdec          gz           Mhalo_L   Mhalo_M   ngal   r180L                d_A_mpc              r180_arcmin          galid    ra              dec            z           MASS           
  6746     176.554993   20.4        6947    0.023156666666666666   111.7   441   2.4    12.6      9.85        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   96.24551597612154    94.43995293791937    565923   176.550676091   20.391656144   0.0231254   1.8698566E11   
  217600   176.557068   21.225279   6652    0.022173333333333333   97.7    254   1.65   10.0      9.57        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   92.2952603453289     98.48200184128636    540042   176.550581267   21.227457684   0.0221473   3.20209843E9   
  210775   176.697495   21.268333   6634    0.022113333333333332   97.7    179   2.04   15.0      9.66        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   92.34943004498011    98.42423493944199    531631   176.694587732   21.271473666   0.0221607   8.6004756E9    
  6754     176.699585   20.676945   7024    0.023413333333333335   97.7    206   9.3    62.3      10.32       5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   97.25277026248243    93.46183121301941    566233   176.696632247   20.675411891   0.0233751   1.90250156E11  
  219167   176.851669   19.383333   5870    0.019566666666666666   97.7    137   0.82   6.9       9.27        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   81.848320913756      111.05202767504854   554779   176.854490801   19.392047389   0.0195736   2.81212224E8   
  210791   176.910431   19.947222   6161    0.02053666666666667    110.7   372   1.56   9.7       9.65        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   85.6706112677293     106.09731697682564   565565   176.913924336   19.939366491   0.0205112   1.59644262E10  
  741411   176.927505   20.970556   7258    0.024193333333333334   97.7    142   1.0    8.1       9.35        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   100.48218616762718   90.45804381791076    556607   176.92876843    20.975327793   0.0241765   2.46628384E8   
  211164   176.952927   19.083612   6002    0.020006666666666666   97.7    245   1.06   6.7       9.38        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   84.01853596971928    108.18353229276168   564865   176.945740767   19.081919291   0.020104    2.33346842E9   
  210803   177.106247   21.157223   6818    0.022726666666666666   101.9   339   2.18   13.1      9.73        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   94.60752731416684    96.07504029871845    540053   177.114567033   21.156634497   0.0227196   1.19096187E10  
  741427   177.145416   20.68861    7024    0.023413333333333335   104.9   171   0.94   7.3       9.39        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   97.82737472925811    92.91286845247652    566246   177.139212017   20.682535995   0.0235176   4.5748304E8    
